
Query #1
dept_name	first_name	last_name	hire_date
Customer Service	Tonny	Butterworth	1985-01-01
Customer Service	Marjo	Giarratana	1988-02-12
Customer Service	Xiaobin	Spinelli	1991-08-17
Customer Service	Yuchang	Weedman	1989-07-10
Development	Leon	DasSarma	1986-10-21
Development	DeForest	Hagimont	1985-01-01
Finance	Ebru	Alpin	1985-01-01
Finance	Isamu	Legleitner	1985-01-14
Human Resources	Shirish	Ossenbruggen	1985-01-01
Human Resources	Karsten	Sigstam	1985-08-04
Marketing	Margareta	Markovitch	1985-01-01
Marketing	Vishwani	Minakawa	1986-04-12
Production	Rosine	Cools	1985-11-22
Production	Oscar	Ghazalie	1992-02-05
Production	Shem	Kieras	1988-10-14
Production	Krassimir	Wegerle	1985-01-01
Quality Management	Rutger	Hofmeyr	1989-01-07
Quality Management	Peternela	Onuegbe	1985-01-01
Quality Management	Dung	Pesch	1989-06-09
Quality Management	Sanjoy	Quadeer	1986-08-12
Research	Hilary	Kambil	1988-01-31
Research	Arie	Staelin	1985-01-01
Sales	Przemyslawa	Kaelbling	1985-01-01
Sales	Hauke	Zhang	1986-12-30

Query #2
dept_name	emp_count
Customer Service	23580
Development	85707
Finance	17346
Human Resources	17786
Marketing	20211
Production	73485
Quality Management	20117
Research	21126
Sales	52245

Query #3
emp_no	from_date	to_date	birth_date	first_name	last_name
10064	1985-11-20	1992-03-02	1959-04-07	Udi	Jansch
11038	1985-07-15	9999-01-01	1955-10-13	Jinya	Beidas
11184	1985-04-27	9999-01-01	1958-04-01	Masoud	Theuretzbacher
11458	1985-10-06	9999-01-01	1958-08-09	Stevo	Chenoweth
12815	1985-02-27	9999-01-01	1955-03-25	Sushant	Junot
13049	1985-10-06	1986-01-08	1955-08-28	Fan	Naudin
13552	1985-03-23	9999-01-01	1955-03-23	Ingmar	Capobianchi
13589	1985-11-16	1987-04-11	1957-07-29	Arfst	Munck
13846	1985-03-20	9999-01-01	1952-08-01	Guiseppe	Welham
14293	1985-05-09	1990-09-12	1955-02-10	Qunsheng	Middleton
14358	1985-09-19	9999-01-01	1956-04-25	Samphel	Serre
14697	1985-08-02	9999-01-01	1958-08-12	Emdad	Thibadeau
16365	1985-04-27	9999-01-01	1954-04-29	Janalee	Mellouli
17478	1985-06-13	1997-08-23	1953-07-27	Tuval	Merle
18138	1985-08-05	2000-03-10	1954-06-19	Moni	Baezner
18414	1985-07-31	9999-01-01	1959-02-07	Karlis	Kavanagh
18807	1985-11-10	9999-01-01	1956-10-21	Jessie	Docker
19761	1985-08-04	1987-01-06	1959-12-13	Vasiliy	Niizuma
20528	1985-06-04	9999-01-01	1952-11-13	Dines	Bednarek
21466	1985-09-12	9999-01-01	1956-10-18	Ugo	Hebert
21894	1985-06-03	9999-01-01	1952-10-19	Marke	Yemenis
24127	1985-06-06	9999-01-01	1959-03-11	Fuqing	Bernick
24183	1985-05-03	9999-01-01	1955-05-21	Muneo	Rousseau
24844	1985-06-24	1995-06-05	1952-10-18	Anwar	Jumpertz
25504	1985-09-19	1990-10-29	1952-06-24	Pramod	Servi
25835	1985-08-26	1986-05-09	1954-05-04	Maria	Poehlman
26088	1985-06-06	9999-01-01	1953-11-10	Theron	Woycyznski
26672	1985-09-27	9999-01-01	1957-12-05	Shaleah	Frezza
26753	1985-10-16	1998-09-24	1955-06-23	Boalin	Decaestecker
27870	1985-04-28	9999-01-01	1958-03-15	Gao	Braunmuhl
27926	1985-10-23	9999-01-01	1953-11-12	Mats	Huttel
28972	1985-04-19	9999-01-01	1955-10-12	Jianhao	Radivojevic
28983	1985-06-29	9999-01-01	1954-12-24	Mohammed	Luca
29266	1985-10-17	1987-10-17	1958-08-12	Bader	Suomi
29759	1985-02-13	9999-01-01	1954-07-14	Arif	Thimonier
29760	1985-09-11	9999-01-01	1955-09-05	Jinya	Paludetto
31106	1985-03-25	9999-01-01	1952-11-15	Oscal	Kulisch
31284	1985-02-21	9999-01-01	1957-11-22	Greger	Christ
